"genai


",,ai02
"Many,Many,Strongly Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree","I'm getting increasingly concerned by assignments at uni with the basic premise of ""get chatgpt to generate this, then do [whatever is relevant for the assignment which is almost never critiquing the output]"". i feel like it encourages students to use it more & that makes me worried for the future of research if more and more people are becoming more and more okay with the use of generative AI, when it's known to confidently spread misinformation. using it to generate research or answers to assignments seems really unethical - we could be using it to explain components instead, and learn how to use it to aid our learning if it must exist in an academic environment.",
"Some,Many,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral","specifically for coding (not related to university assignments or courses, but outside university), often times I use applications and programs which I have never used before. So I use AI to help me go through a quick run through around how they work. I also feel like it’s super useful for debugging, but also at the same time takes a way a really important skill to learn how to debug. Understanding and finding mistakes, so that these do not occur again is incredibly important. I do think it’s important to make use of it, cause it’s likely gonna be used in future jobs to some extent. So it’s important to understand where and when we can use it to make some tasks more efficient while when not to use it. ",
"None,Some,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Neutral","I believe that artificial intelligence is a great invention and a significant technological advancement. Since we already have such technology, it should be applied to our daily lives. However, when it comes to learning, we need to learn how to use it properly. Using it with a good understanding will yield better results, rather than blindly worshipping and relying on it.

yes

no

There are some changes, but not many.

utilize it when fully grasping the content

no",
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral","I think AI as a tool, we should learn how to use it properly, and reasonably regulate the scope of application. Instead of talking about AI and thinking it is absolutely immoral or undesirable. Because anyone who has used AI knows that the content it generates has no real central idea and meaningful theme. The most important parts are those that require human thinking and manual input. Sometimes AI just helps us organize our language and save time.",
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral","I think AI as a tool, we should learn how to use it properly, and reasonably regulate the scope of application. Instead of talking about AI and thinking it is absolutely immoral or undesirable. Because anyone who has used AI knows that the content it generates has no real central idea and meaningful theme. The most important parts are those that require human thinking and manual input. Sometimes AI just helps us organize our language and save time.",
"A Few,A Few,Neutral,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Agree","I think AI as a tool, we should learn how to use it properly, and reasonably regulate the scope of application. Instead of talking about AI and thinking it is absolutely immoral or undesirable. Because anyone who has used AI knows that the content it generates has no real central idea and meaningful theme. The most important parts are those that require human thinking and manual input. Sometimes AI just helps us organize our language and save time.",
"A Few,A Few,Disagree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree",Proper use of GenAI can better support learning.,
"A Few,A Few,Neutral,Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree","I think in the future GenAI may replace some repetitive tasks such as entering some data. On the other hand, it will also create some new employment opportunities, such as GenAI system management, GenAI ethical supervision and other fields.",
"Many,Many,Disagree,Strongly Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Disagree","The further development of ai tools may replace our work in the future, but through rational use can make us more relaxed at work. What we need to think about is not the relationship between human and ai at work, but how we can carry out structural division of labor with ai at work, improve work efficiency and liberate human primary labor.",
"None,None,Agree,Strongly Agree,Always allowed,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree","1. I don't think it will have much impact on job prospects, it still depends on our individual abilities, but AI will improve our work efficiency

2.I think it's ethical most of the time, but it doesn't cover all issues

3.I don't think there will be too much dependence, after all, we still need to think and analyze the problem before we let AI help us

4.It's not a radical change, but it does improve efficiency and make the results more comprehensive

5.There is no exact number on this, but I think AI should be added to the learning environment more, it is a good tool after all

6.I really haven't experienced this, and I guess it just tells us something we don't know",
"A Few,A Few,Disagree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree","I think generative AI will impact industries that do not use human brains to think, such as those that only need complex calculations or make planning tables, and for large enterprises, it will probably lay off some of the people involved. Generative AI is unethical in some ways because it can steal the work of others. I don't worry about my peers using these tools because I believe that I will have the ability to think independently when I enter the graduate stage. Generative AI can make learning easier because it is easier and faster to find learning materials and can solve many problems. I think generative AI can be appropriately referenced in some areas such as finding data. I generally use AI to find information.",
"Some,A Few,Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree",I'm worried that non-native English speakers using translation tools might be identified as AI.,
"Some,A Few,Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree",I'm worried that non-native English speakers using translation tools might be identified as AI.,
"Many,Some,Agree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral",,
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral",.,
"None,None,Strongly Disagree,Neutral,Always allowed,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral","AI can replace many jobs, such as in the accounting industry, where some simple calculations no longer require human intervention. I also use AI in my daily life, but I am careful about personal privacy when using it, as I worry about potential exposure of my private information. AI has been very helpful in my life—for example, I just consulted AI for the steps to update my R version.  In learning, I am not concerned that AI might create unfair competition among classmates because their grades have nothing to do with me. I only need to focus on my own performance. AI can help us solve unexpected challenges, but it should not replace our thinking. I believe AI is a great tool.",
"A Few,A Few,Agree,Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree","* Some work that can be completed by GenAI with high quality will be completed by GenAI, then some people will lose their jobs, but this is the way of development, AI cannot completely replace human beings,  we need to improve our ability through learning to do some work that cannot be replaced by GenAI.

* I am not sure about the future development of GenAI, but I think I will follow the requirements of the course and teachers, and use appropriate tools to help me learn within the scope of compliance.

* GenAI can only use by suitable places, GenAI can be used to provide ideas, or provide a writing outline. If we are completing a paper or just an essay, it is best not to let GenAI do the whole thing, the article needs to have our own thinking.

* It does help. I don't think I've fully utilized GenAI, and I'm still looking for more appropriate ways to train AI.

5.GenAI can be moderately helpful, but students should keep the habit of thinking for themselves.

* GenAI does help me complete tasks faster, provide ideas for assignments that I don't know how to start, but what GenAI provides is not exactly correct, thinking about the content that GenAI provide us is an important step.",
"A Few,A Few,Neutral,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree","From my view, I believe using AI tools is a complex situation. First of all, we have to admit that AI tools are taking an increasingly huge part of our life as they are developing incredibly, in some fields, especially in the design and coding field, my colleagues and friends said the AI tools did help them a lot with their jobs. Yet as the regulations and laws about AI are still at the early phase, using AI ethically is mostly depends on the individual's moral standard, thus I believe using AI requires a specific rule or at least there should be a line to declare the AI can be used in which situation or level.

For myself, I haven't used AI that much, and I only used it to prepare for my interviews, like searching for information of some specific things.",
"A Few,A Few,Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree","I used to use AI to generate paintings.

Overall, the results were pretty much what I wanted, but there were always some parts that weren't as good as I could have been, even though I described the prompts in a clear and detailed way. This requires me to make my own changes based on the results it generates.

So my point is that generative AI can save time and increase efficiency for practitioners. But if you need AI-generated content that is beyond your ability level, and you can't verify and modify the results, the results will often be unsatisfactory.

While I look forward to the day when generative AI will be able to produce exactly what I expected and don't need to be modified, I still feel anxious and worried about it if I can't verify it.",
"Some,Many,Agree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree","GenAI is a great tool in the learning process, it should be used to strength your already existing knowledge but you should never get it create anything that is FOREIGN to you. AI is a great tool to dump all your curiosities and deep opinions onto regarding a topic, use it to understand a subject in greater depth, but having it do all the work for you feels dangerous and most importantly ungratifying. 

 

In my opinion, the controversy behind LLMs and other AIs is rather blown out of proportion, if people use it to do all their assignments for them it should be EASILY detectable for any marker/instructor, there should be no difference between using an AI generator and having a semi-reliable online tutor, that can help you steer your work in the right direction and help you understand concepts that otherwise would be too difficult to grasp by one's self. ",
"A Few,A Few,Neutral,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree",,
"Some,Many,Agree,Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree",no,
"A Few,Some,Agree,Strongly Agree,Always allowed,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree","GenAI’s kinda like a double-edged sword for jobs—it’ll probably handle grunt work like data crunching, but human skills like creativity or empathy will stay in demand. Ethically? Yikes—hidden biases in training data and copyright gray zones worry me, not to mention companies quietly replacing roles with bots. As for peers, some treat ChatGPT like a homework vending machine (copy-paste essays = bad news), and over-reliance on AI coding tools risks turning us into debug-illiterates. Learning-wise, it’s turbocharged research (Perplexity’s my go-to), but I’ve caught myself skimming surfaces instead of diving deep. Personally, I’ve hacked deadlines with Midjourney for posters and Claude for digesting dense reports, though I always fact-check—AI’s the shortcut, but my brain’s still the GPS!",
"A Few,A Few,Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree","I think that GenAI tools will definitely make a place for itself in various fields (i.e research, medical applications, etc) but it definitely poses as a concern for me since there's still much to be learnt about AI. It would great if it meant that manpower could be concentrated or reorganised into areas where we need human thinking the most, but only time will tell!

I do think that GenAI should be thoroughly discussed and incorporated into learning environments since it appears that it will be sticking around for the long run. That way, more people will be made aware of its potential uses/misuses, ethical complications (e.g malicious intent?!, or even art generating models trained using art without permissions) and how we should handle GenAI in the future.

(In case the quiz timer seemed long, I was attacked by a cockroach mid-quiz)",
"A Few,Some,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral",,
"Some,Some,Disagree,Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral","I think AI has the potential to undermine genuine effort in certain circumstances. However, it is not a replacement for understanding a topic and therefore someone reliant on it for their work is likely to run into trouble fairly quickly. 

I have found it very useful as a learning tool especially when summarising large quantities of notes or as a study tool (creating potential essay questions etc).

I have also found it very useful for debugging code/suggesting better ways of writing the code, allowing me to continue to learn without constantly having to go to someone more knowledgeable. 

 ",
"Some,Many,Neutral,Strongly Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree",,
"None,None,Strongly Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral","I think GenAI has been quite helpful for me. If it has been used I think it is important that it should be included in the references section of the assignment, including what section it has been applied to, to ensure that students are not taking credit for a section that they have not done completely by themselves. I have also made sure to know what the rules lecturers have around the use of GenAI is, as some can be more open to its use compared to others. ",
"Some,A Few,Disagree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree","Although I have not been using Gen AI to assist with my learning, I do think it can be useful in helping students to better understand course content. I have seen my fellow peers use this to improve their understanding of course contents (such as technical differences between similar terms), as well as gaining an understanding of why their code doesn't work, or why the code works a certain way etc.",
"Some,Some,Agree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree",,
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral","I have been using Grammarly (to my understanding, it's also a generative AI), and whenever it suggests any improvements or improves my writing, I am trying to learn how it's restructuring, or at least trying to learn bits from it.

Regarding other Gen AI like Chat GPT or Copliot, I haven't used it much for my academic purpose; I mostly use it for personal purposes.

Reg academically, I use it to understand some topics that were new to me and reg coding, I have used it to understand existing codes and to search syntax for specific algorithms but not for generating a large chunk of code. I do not see any point in using a code that I myself won't understand.

(Of course, all these were done during my work, not during my academic years; I haven't done much of coding from an academic perspective), There was one course where I had to do a bit of coding, but in that course, the use of AI was permitted as long as we understood the codes and provided comments on our reasoning for using that particular code. I feel that, in those scenarios, AI was used like a colleague who would help us out when we were stuck somewhere.

But I would not accept if someone uses the large chunk of code from AI without understanding (mostly, it's not going to be helpful for them), and most of the time, the code that it generates will not be the solution for our problem. ",
"Some,Some,Agree,Disagree,Always disallowed,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree","I believe generative AI has its pros, especially when used correctly; I believe that it should be seen as a tool. Anyone can use this tool, but in order to really benefit from it, you need to have a foundation in the knowledge you are asking for. For example, I will not fully grasp and ""learn"" how to code with zero prior experience if I ask ChatGPT to explain to me how to create a specific script that can read and write files. I will not be able to then apply this knowledge in other aspects of coding or even pass the information along. However, I believe if you are a student who has a good foundation in coding, you may find generative AI beneficial for those niche questions you can rapidly answer that will refresh you, for example you forgot where to find a specific prompt.

Sorry for the long paragraph, I am excited for this course!",
"Some,Some,Disagree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral",I think Gen AI can be a really useful and powerful tool but in academic/coursework settings there can be a lot of grey area so I tend to avoid it for research and writing. In general I don't think it is sustainably ethical and I don't enjoy the increasing prevalence and reliance on AI in academic settings and in day to day life due the large environmental impacts and blurry ethics. That being said when it comes to coding it can be a very useful tool from my personal experience. However I'm not very well versed in the ethics of coding hence why I answered neutral to the previous questions about whether copying code verbatim is ethical. I'm excited to learn more in this course and discuss AI further because I find it very fascinating!,
